Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
United States,USA,"Population, total",SP.POP.TOTL,249623000,282162411,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557
United States,USA,Population growth (annual %),SP.POP.GROW,1.12965052,1.112768997,0.692860277,0.73336152,0.736217309,0.724676067,0.632643995,0.526435396,0.455381286,0.9643479,0.156747055,0.377564531
United States,USA,Surface area (sq. km),AG.SRF.TOTL.K2,9629090,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,..
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,27.25451361,30.79730133,34.55181319,34.8061343,35.06332868,35.31834714,35.54249482,35.73009646,35.89317567,36.24098511,36.29783633,..
United States,USA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.5,0.7,1,1.2,1.2,1,1.2,1,1,0.2,0.2,..
United States,USA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,6.00622E+12,1.01466E+13,1.70644E+13,1.77651E+13,1.81589E+13,1.8459E+13,1.92544E+13,2.07398E+13,2.17134E+13,2.14323E+13,2.35399E+13,2.54544E+13
United States,USA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,24060,35960,53990,55800,56620,57140,59220,63460,66130,64650,70900,76370
United States,USA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5.90229E+12,1.03837E+13,1.71883E+13,1.80431E+13,1.86609E+13,1.90205E+13,1.98856E+13,2.09374E+13,2.17645E+13,2.14724E+13,2.36171E+13,2.58389E+13
United States,USA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23640,36800,54380,56670,58180,58870,61160,64060,66290,64770,71130,77530
United States,USA,Income share held by lowest 20%,SI.DST.FRST.20,5.6,5.5,5.3,5.2,5.3,5.2,5.2,5.2,5.1,5.6,6,..
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.21463415,76.63658537,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878,76.32926829,..
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.081,2.056,1.8575,1.8625,1.8435,1.8205,1.7655,1.7295,1.706,1.6415,1.664,..
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,60.633,46.734,26.447,24.036,21.899,19.867,18.423,17.06,16.414,15.83,15.966,..
United States,USA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,70.7,..,..,72.7,..,75.9,..,73.9,..,..,..,..
United States,USA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.2,99.4,99.2,98.5,99.1,99.1,99.1,99.1,99,..,..,..
United States,USA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,11.2,8.4,7,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,..
United States,USA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,1.1,..,0.7,..,1.4,..,0.4,..,..,..,..
United States,USA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,91,92,92,92,92,91,92,90,91,91,..
United States,USA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,98.8321991,100.0926971,100.4890518,100.9236679,..,..
United States,USA,"School enrollment, primary (% gross)",SE.PRM.ENRR,106.0332336,..,99.45543671,99.67337799,100.2999115,101.3628616,101.8214417,101.2565613,100.9813004,100.3057938,..,..
United States,USA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,91.48178101,..,96.18649292,96.92453766,97.65254974,98.76992798,98.95233917,99.27558136,100.0634308,100.509819,..,..
United States,USA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.997739971,..,0.997099996,1.004230022,1.005079985,0.996259987,0.993629992,0.994700015,0.994910002,0.986829996,..,..
United States,USA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,0.4,0.4,0.4,0.4,0.4,0.4,0.4,..,..,..
United States,USA,Forest area (sq. km),AG.LND.FRST.K2,3024500,3035360,3095450,3098200,3100950,3100950,3097950,3097950,3097950,3097950,3097950,..
United States,USA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,26.32619972,26.3280836,26.3280836,26.32811592,23.9458353,15.88327447,15.88333716
United States,USA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,16.5046132,16.80269695,15.40658861,15.58825016,15.7699117,15.7699117,15.7699117,15.7699117,15.7699117,15.7699117,..,..
United States,USA,Urban population growth (annual %),SP.URB.GROW,1.410256285,1.512011391,0.914510414,0.959430782,0.966674782,0.958268061,0.87178526,0.76743743,0.701867775,1.212647657,0.409258906,0.631847364
United States,USA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,7671.773066,8056.86385,6905.598633,6960.683997,6803.996607,..,..,..,..,..,..,..
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,19.40733586,20.46979674,16.11117526,16.04091676,15.56001544,15.14988272,14.82324544,15.2225181,14.67338071,13.03282795,..,..
United States,USA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,11713.3317,13671.05202,13004.02357,12993.96558,..,..,..,..,..,..,..,..
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,5.96314E+12,1.02509E+13,1.68432E+13,1.75507E+13,1.8206E+13,1.86951E+13,1.94773E+13,2.05331E+13,2.1381E+13,2.10605E+13,2.33151E+13,2.54627E+13
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.885964957,4.077159479,1.841875395,2.287775933,2.706369582,1.667472076,2.241921216,2.945384831,2.294439078,-2.767802511,5.945484761,2.061593119
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.74332974,2.26554767,1.750949779,1.869891372,1.000541633,1.00223548,1.89961014,2.404058593,1.793930501,1.304912071,4.492792236,7.005275556
United States,USA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,1.150555364,1.321084164,1.172065105,1.033933783,0.942644553,0.946868678,0.903900643,0.838812891,0.948847432,0.959566657,..
